player,team,exp_g_match,is_taker,exp_goals,p_gb
Kylian Mbappé (captain),France,0.7151204962323549,True,8.7592,42.970000000000006
Erling Haaland,Norway,0.7331514552580326,True,7.8545,21.15
Lionel Messi (captain),Argentina,0.402026054699369,True,7.6422,13.565
Harry Kane (captain),England,0.810929173196081,True,5.74025,6.069999999999999
Ousmane Dembélé,France,0.3281942064776723,False,6.1652,5.0200000000000005
Vinícius Júnior,Brazil,0.3406668117447576,False,5.70835,3.25
Cristiano Ronaldo (captain),Portugal,0.6030190887359504,True,5.2841,2.495
Jonathan David,Canada,0.4014736920152009,True,4.99235,1.575
Folarin Balogun,United States,0.378718140983302,True,4.0637,0.525
Deniz Undav,Germany,0.2826728937771011,False,4.4203,0.455
Ayoub El Kaabi,Morocco,0.5066591617520743,True,2.5999,0.35000000000000003
Mohamed Salah (captain),Egypt,0.5104163839205632,True,3.2717,0.22999999999999998
Cyle Larin,Canada,0.3038925569660617,False,3.5065,0.22
Matheus Cunha,Brazil,0.2414434427965089,False,4.19765,0.185
Mikel Oyarzabal,Spain,0.231159627345319,True,3.54345,0.16999999999999998
Ismael Saibari,Morocco,0.2027827858086926,False,4.02595,0.165
Cody Gakpo,Netherlands,0.2885969964282682,False,3.457,0.135
Viktor Gyökeres,Sweden,0.4322219683121531,True,2.77335,0.08499999999999999
Memphis Depay,Netherlands,0.3898080021414503,True,1.98295,0.08
Lamine Yamal,Spain,0.2544509094204862,False,2.69185,0.075
Julián Quiñones,Mexico,0.2333333333333333,False,3.1274,0.075
Luis Díaz,Colombia,0.3964748413904591,False,3.01455,0.075
Raúl Jiménez,Mexico,0.3236369674494737,True,2.56275,0.06999999999999999
Brian Brobbey,Netherlands,0.1693996516492648,False,3.86615,0.065
Alexander Isak,Sweden,0.4139037294777349,False,2.70005,0.065
Ayase Ueda,Japan,0.2304194451729908,True,3.10405,0.055
Ermedin Demirović,Bosnia and Herzegovina,0.4494275329153871,True,1.94135,0.055
Ollie Watkins,England,0.3734389617042197,False,2.1821,0.045
Jude Bellingham,England,0.3199551292872729,False,2.85795,0.04
Johan Manzambi,Switzerland,0.1410504261948464,False,3.7214,0.04
Raphinha,Brazil,0.3563422406102375,True,1.787,0.034999999999999996
Ismaïla Sarr,Senegal,0.209243085026817,False,3.9577,0.034999999999999996
Kai Havertz,Germany,0.3190090250883361,True,2.6081,0.025
Darwin Núñez,Uruguay,0.4546118586707596,False,1.5214,0.025
Kendry Páez,Ecuador,0.3200096050767301,True,1.60685,0.025
Jamal Musiala,Germany,0.2819004737942324,False,2.41505,0.025
Jean-Philippe Mateta,France,0.3168647747041517,False,2.0907,0.02
Rubén Vargas,Switzerland,0.157924723774238,False,2.79605,0.02
Alexander Sørloth,Norway,0.3526409365207791,False,1.86365,0.02
Bukayo Saka,England,0.2963521836666855,False,1.7468,0.02
Amine Gouiri,Algeria,0.2899562125567927,False,2.1504,0.015
Daizen Maeda,Japan,0.2374916601553353,False,2.14225,0.015
Amad Diallo,Ivory Coast,0.2333333333333333,False,2.05765,0.015
Borja Iglesias,Spain,0.2390344222436858,False,1.59495,0.015
Santiago Giménez,Mexico,0.2881327103867377,False,1.4032,0.015
Edin Džeko (captain),Bosnia and Herzegovina,0.3494883341454198,False,1.51,0.01
Crysencio Summerville,Netherlands,0.1694570029469406,False,2.8656,0.01
Keito Nakamura,Japan,0.2442046983969994,False,2.15595,0.01
Gonçalo Ramos,Portugal,0.294539174162094,False,1.6167,0.01
Soufiane Rahimi,Morocco,0.2333333333333333,False,2.1806,0.01
Promise David,Canada,0.2645947502992218,False,2.3023,0.01
Trézéguet,Egypt,0.2333333333333333,False,2.0514,0.01
Nicolas Jackson,Senegal,0.3985341043833358,False,1.79475,0.01
Romelu Lukaku,Belgium,0.3357953427017098,False,1.5908,0.01
Nicolas Pépé,Ivory Coast,0.1522364060718727,False,2.6951,0.01
Guillermo Martínez,Mexico,0.2333333333333333,False,1.1256,0.01
Gonzalo Plata,Ecuador,0.2333333333333333,False,2.16555,0.01
Jørgen Strand Larsen,Norway,0.277278440074569,False,1.4646,0.01
Kerim Alajbegović,Bosnia and Herzegovina,0.2437873979163734,False,2.05485,0.01
Nestory Irankunda,Australia,0.2333333333333333,False,2.08535,0.01
Yéremy Pino,Spain,0.2333333333333333,False,1.5364,0.01
Ayoube Amaimouni,Morocco,0.2333333333333333,False,1.1895,0.005
Nico Williams,Spain,0.2007130554618873,False,1.3291,0.005
Jovo Lukić,Bosnia and Herzegovina,0.2333333333333333,False,2.00605,0.005
Igor Thiago,Brazil,0.2868265154468519,False,1.446,0.005
Rafael Leão,Portugal,0.2350662438879244,False,2.28025,0.005
Ferran Torres,Spain,0.1475767017320319,False,0.9943,0.005
Désiré Doué,France,0.1666126182454733,False,2.0981,0.005
Jaminton Campaz,Colombia,0.2333333333333333,False,2.1803,0.005
Ibrahim Adel,Egypt,0.2333333333333333,False,1.03475,0.005
Nadhir Benbouali,Algeria,0.2333333333333333,False,1.9391,0.005
Federico Viñas,Uruguay,0.2877804174923615,True,0.9636,0.005
Rodrigo Aguirre,Uruguay,0.2333333333333333,False,0.7859,0.005
Leroy Sané,Germany,0.1994519505493224,False,1.99665,0.005
Alejandro Zendejas,United States,0.2333333333333333,False,1.2717,0.005
Florian Wirtz,Germany,0.1843701142208483,False,0.92105,0.005
Cedric Itten,Switzerland,0.2327781221613337,True,1.17765,0.005
Julián Alvarez,Argentina,0.2654742313873696,False,1.73645,0.005
Bradley Barcola,France,0.1920440671311798,False,2.2722,0.005
Roberto Alvarado,Mexico,0.2333333333333333,False,1.1298,0.005
Ivan Toney,England,0.2891286919194203,False,1.6885,0.005
Lyle Foster,South Africa,0.1882257056741754,False,0.8145,0.005
Benjamin Nygren,Sweden,0.269680885464973,False,1.124,0.005
Keisuke Gotō,Japan,0.2333333333333333,False,1.10485,0.005
Breel Embolo,Switzerland,0.2712661894666189,False,1.3719,0.005
Marko Arnautović,Austria,0.3523819056986557,True,1.41325,0.005
Víctor Muñoz,Spain,0.2102805126352774,False,1.4011,0.005
Mohamed Touré,Australia,0.2333333333333333,False,1.0854,0.005
Kōki Ogawa,Japan,0.2333333333333333,False,1.10895,0.005
Michael Olise,France,0.2329055239388639,False,1.53925,0.005
Anthony Gordon,England,0.2535615648695506,False,1.4971,0.005
César Huerta,Mexico,0.2333333333333333,False,1.11985,0.005
Nishan Velupillay,Australia,0.2333333333333333,False,1.0998,0.005
N'Golo Kanté,France,0.0794350632447425,False,0.52705,0.0
Marcus Thuram,France,0.2299595514111999,False,1.51185,0.0
William Saliba,France,0.0425129048330682,False,0.28485,0.0
Aurélien Tchouaméni,France,0.0716984550704813,False,0.47065,0.0
Adrien Rabiot,France,0.1308579624974682,False,0.864,0.0
Manu Koné,France,0.0826666666666666,False,0.55215,0.0
Jules Koundé,France,0.0499471269773804,False,0.329,0.0
Ibrahima Konaté,France,0.0450724459823437,False,0.2911,0.0
Fredrik Aursnes,Norway,0.0791726379025182,False,0.4177,0.0
Kristian Thorstvedt,Norway,0.1510738807258282,False,0.80755,0.0
Thelo Aasgaard,Norway,0.0704417723987826,False,1.3663,0.0
Antonio Nusa,Norway,0.1036079888378882,False,0.54895,0.0
Andreas Schjelderup,Norway,0.1803535787618003,False,0.9594,0.0
Oscar Bobb,Norway,0.0650928212420542,False,0.33485,0.0
Jens Petter Hauge,Norway,0.1102117466701345,False,0.5764,0.0
Julian Ryerson,Norway,0.0405386459836505,False,0.21775,0.0
Abdoulaye Seck,Senegal,0.0738762410761546,False,0.33175,0.0
Idrissa Gueye,Senegal,0.0838092344231065,False,0.3693,0.0
Ali Yousif,Iraq,0.2333333333333333,False,0.69955,0.0
Assane Diao,Senegal,0.1955919033897011,False,0.87495,0.0
Lamine Camara,Senegal,0.0736765575295972,False,0.3344,0.0
Bamba Dieng,Senegal,0.2923373618709343,True,1.3078,0.0
Sadio Mané,Senegal,0.2333333333333333,False,1.0526,0.0
Cherif Ndiaye,Senegal,0.2874371107301555,False,1.2944,0.0
Iliman Ndiaye,Senegal,0.1741897733376935,False,1.7775,0.0
Pape Matar Sarr,Senegal,0.0826666666666666,False,0.36515,0.0
Ibrahim Mbaye,Senegal,0.157938366005035,False,1.7034,0.0
Habib Diarra,Senegal,0.0878306966434467,False,1.4024,0.0
Antoine Mendy,Senegal,0.0448601707766959,False,0.20345,0.0
Pathé Ciss,Senegal,0.0768568422530423,False,0.34355,0.0
Théo Hernandez,France,0.0773995210559253,False,0.50665,0.0
Rayan Cherki,France,0.1483394019437671,False,0.9793,0.0
Maghnes Akliouche,France,0.1993770738378955,False,1.32195,0.0
Maxence Lacroix,France,0.0614445645531131,False,0.41065,0.0
