team,no,pos,player,birth_date,age,caps,goals,club,club_country,nn,mins,op_rate90,pen_per90,role,g,npxg,sh90,mn,exp_min,exp_shots_match,is_taker,pen_rate90,exp_g90,exp_g_match
Czech Republic,1,GK,Matěj Kovář,2000-05-17,26,20,0,PSV Eindhoven,Netherlands,matej kovar,2915.0,0.0003753183047232573,0.0,GK,0.0,0.0,0.001470340633262374,2915.0,85.0,0.0013886550425255754,False,0.0,0.0003753183047232573,0.0003544672877941874
Czech Republic,2,DF,David Zima,2000-11-08,25,25,1,Slavia Prague,Czech Republic,david zima,1495.0,0.03833107109146394,0.0,DEF,0.0,0.5599999999999999,0.5083080108801422,1495.0,69.52380952380952,0.39266121475397225,False,0.0,0.03833107109146394,0.029610245393406006
Czech Republic,3,DF,Tomáš Holeš,1993-03-31,33,41,2,Slavia Prague,Czech Republic,tomas holes,1579.0,0.03848912542113672,0.0,DEF,0.0,0.6100000000000001,0.8111971945243239,1579.0,77.77777777777779,0.7010346125518849,False,0.0,0.03848912542113672,0.033262207154068774
Czech Republic,4,DF,Robin Hranáč,2000-01-29,26,14,1,TSG Hoffenheim,Germany,robin hranac,3790.0,0.06152555846206679,0.0,DEF,1.0,3.2600000000000002,0.4223882795620877,3790.0,77.61363636363636,0.36425655926882056,False,0.0,0.06152555846206679,0.05305802579493891
Czech Republic,5,DF,Vladimír Coufal,1992-08-22,33,62,2,TSG Hoffenheim,Germany,vladimir coufal,8106.0,0.024243635140579842,0.0,DEF,1.0,1.7400000000000002,0.48345279472982094,8106.0,77.77777777777779,0.417798711494907,False,0.0,0.024243635140579842,0.020951289627661594
Czech Republic,6,DF,Štěpán Chaloupek,2003-03-08,23,5,0,Slavia Prague,Czech Republic,stepan chaloupek,580.0,0.08021750914936569,0.0,DEF,1.0,0.79,0.6201184682794296,580.0,55.45454545454545,0.3820931976267192,False,0.0,0.08021750914936569,0.049426950081932396
Czech Republic,7,DF,Ladislav Krejčí (captain),1999-04-20,27,27,5,Wolverhampton Wanderers,England,ladislav krejci,6510.0,0.06629340787016,0.0,DEF,6.0,4.8500000000000005,0.7267702125447837,6510.0,83.19444444444444,0.6718138230159343,False,0.0,0.06629340787016,0.061280480423188025
Czech Republic,8,MF,Vladimír Darida,1990-08-08,35,79,8,Hradec Králové,Czech Republic,vladimir darida,,0.12,0.0,,,,1.2,0.0,62.0,0.8266666666666667,False,0.0,0.12,0.08266666666666667
Czech Republic,9,FW,Adam Hložek,2002-07-25,23,43,5,TSG Hoffenheim,Germany,adam hlozek,3441.0,0.3567932990713683,0.0,FWD,15.0,14.31,3.24306947813107,3441.0,55.20833333333333,1.9893828974646606,False,0.0,0.3567932990713683,0.21886625984701988
Czech Republic,10,FW,Patrik Schick,1996-01-24,30,53,26,Bayer Leverkusen,Germany,patrik schick,6119.0,0.5414579286192016,0.08133681974178789,FWD,55.0,39.44,3.375043538567093,6119.0,61.476190476190474,2.3053868826931834,False,0.0,0.5414579286192016,0.369853008384862
Czech Republic,11,FW,Jan Kuchta,1997-01-08,29,31,3,Sparta Prague,Czech Republic,jan kuchta,1035.0,0.30332222430232336,0.0,FWD,3.0,3.49,1.7397183414883135,1035.0,72.0,1.3917746731906508,False,0.0,0.30332222430232336,0.2426577794418587
Czech Republic,12,MF,Lukáš Červ,2001-04-10,25,17,2,Viktoria Plzeň,Czech Republic,lukas cerv,2236.0,0.09296672114615313,0.0,MID,2.0,1.6,1.3399170442894575,2236.0,82.5,1.2282572905986693,False,0.0,0.09296672114615313,0.0852194943839737
Czech Republic,13,FW,Mojmír Chytil,1999-04-29,27,22,6,Slavia Prague,Czech Republic,mojmir chytil,1004.0,0.33864165608204916,0.0,FWD,5.0,3.69,2.7689934650851886,1004.0,50.95238095238095,1.567631220974154,False,0.0,0.33864165608204916,0.191717762967086
Czech Republic,14,DF,David Jurásek,2000-08-07,25,18,1,Slavia Prague,Czech Republic,david jurasek,1751.0,0.036452102283812175,0.0,DEF,0.0,0.5900000000000001,0.7877363146294003,1751.0,47.85714285714285,0.41887565936642707,False,0.0,0.036452102283812175,0.01938326073821758
