team,group,elo,mv_meur,p_win_group,p_r32,p_r16,p_qf,p_sf,p_final,p_win,exp_goals_group
Spain,H,2219.0,1220.0,89.46,99.995,86.44,72.7,62.834999999999994,46.45,34.75,11.48
France,I,2125.0,1520.0,64.255,98.005,79.785,57.545,41.6,23.97,14.580000000000002,6.69
England,L,2086.0,1360.0,73.69,99.055,79.17,53.08500000000001,34.04,20.965,10.08,7.66
Argentina,J,2192.0,782.0,73.75,98.1,64.545,50.485,35.08,20.630000000000003,9.885,6.93
Ecuador,E,2028.0,369.0,54.464999999999996,97.485,68.245,37.195,23.025000000000002,11.06,5.1499999999999995,6.45
Portugal,K,2043.0,1010.0,63.695,97.545,68.60000000000001,40.22,22.065,11.165,4.46,6.49
Norway,I,1971.0,590.0,25.729999999999997,89.105,54.64,31.885,16.88,7.455,2.83,4.8
Netherlands,F,2011.0,754.0,51.44,92.93,52.580000000000005,32.445,14.995,6.0,2.5700000000000003,5.32
Morocco,C,1985.0,498.0,49.36,95.48,56.699999999999996,31.275,14.895,6.404999999999999,2.46,5.78
Germany,E,2004.0,947.0,32.375,93.325,53.745,25.145,12.015,5.175,1.82,5.31
Brazil,C,2069.0,928.0,42.705,93.795,51.25999999999999,26.650000000000002,11.55,4.37,1.47,5.4
Belgium,G,1957.0,548.0,71.875,96.705,65.71000000000001,35.985,10.68,4.3950000000000005,1.425,6.25
Turkey,D,1969.0,474.0,40.005,82.73,55.19500000000001,27.455000000000002,9.754999999999999,3.6700000000000004,1.155,4.44
Japan,F,1994.0,271.0,34.82,87.37,40.92,20.990000000000002,8.66,2.915,1.0250000000000001,4.62
Switzerland,B,1956.0,332.0,41.370000000000005,96.46000000000001,61.67,26.985,9.06,2.98,0.8999999999999999,6.15
Mexico,A,1980.0,192.0,60.47,94.83,59.775,25.285000000000004,8.765,3.01,0.845,6.14
Croatia,L,1969.0,387.0,23.080000000000002,91.74,50.96000000000001,17.04,7.555000000000001,2.69,0.83,5.05
Uruguay,H,1976.0,359.0,10.095,94.16499999999999,36.0,19.77,8.99,3.305,0.755,5.5
Canada,B,1899.0,199.0,51.73,97.895,64.14999999999999,28.49,9.115,2.9499999999999997,0.695,7.04
Colombia,K,2064.0,302.0,28.915000000000003,89.98,46.235,16.71,7.000000000000001,2.5749999999999997,0.655,4.85
Senegal,I,1914.0,478.0,9.25,69.595,30.03,13.309999999999999,4.71,1.4500000000000002,0.375,3.52
United States,D,1827.0,386.0,25.580000000000002,71.8,41.175,15.964999999999998,4.72,1.34,0.255,4.03
Australia,D,1902.0,77.0,19.775000000000002,65.56,34.46,12.08,3.315,0.8999999999999999,0.215,3.52
Ivory Coast,E,1815.0,522.0,12.675,78.735,31.77,10.93,3.755,1.03,0.21,3.99
Algeria,J,1873.0,257.0,14.005,76.96499999999999,21.38,9.675,3.395,0.975,0.20500000000000002,3.88
Austria,J,1890.0,245.0,10.65,69.92,17.88,7.2749999999999995,2.08,0.545,0.12,3.53
South Korea,A,1881.0,139.0,21.13,77.82,35.345,11.08,2.3449999999999998,0.47000000000000003,0.09,4.05
Paraguay,D,1919.0,154.0,14.64,56.125,25.990000000000002,7.9350000000000005,1.97,0.49500000000000005,0.08,3.14
Czech Republic,A,1802.0,188.0,14.979999999999999,69.355,28.315,8.309999999999999,1.455,0.22999999999999998,0.045,3.63
Sweden,F,1771.0,406.0,8.790000000000001,53.395,12.1,3.2649999999999997,0.75,0.125,0.02,2.96
Bosnia and Herzegovina,B,1652.0,152.0,6.465,64.765,17.71,4.1000000000000005,0.35500000000000004,0.05,0.015,3.5
Scotland,C,1844.0,170.0,6.235,53.565,12.2,2.785,0.48,0.065,0.01,2.93
Iran,G,1897.0,32.0,9.78,58.87,14.81,2.59,0.31,0.04,0.01,3.12
South Africa,A,1663.0,49.0,3.42,29.315,6.69,1.03,0.06999999999999999,0.01,0.005,2.34
New Zealand,G,1732.0,34.0,7.605,50.525,10.66,1.6400000000000001,0.16999999999999998,0.01,0.005,2.86
Cape Verde,H,1654.0,54.0,0.11499999999999999,14.695,1.345,0.125,0.005,0.0,0.0,1.86
Tunisia,F,1738.0,70.0,4.95,37.345,6.335,1.38,0.20500000000000002,0.01,0.0,2.49
Curaçao,E,1606.0,26.0,0.485,8.375,1.005,0.08499999999999999,0.005,0.0,0.0,1.57
Jordan,J,1776.0,20.0,1.595,22.7,2.75,0.51,0.06,0.0,0.0,2.05
DR Congo,K,1763.0,144.0,1.8399999999999999,25.8,3.3099999999999996,0.345,0.055,0.005,0.0,2.14
Iraq,I,1738.0,21.0,0.765,14.455000000000002,2.54,0.48,0.095,0.005,0.0,1.81
Saudi Arabia,H,1693.0,41.0,0.33,30.005,3.8449999999999998,0.43,0.034999999999999996,0.0,0.0,2.36
Qatar,B,1566.0,20.0,0.43499999999999994,9.700000000000001,0.63,0.04,0.0,0.0,0.0,1.69
Egypt,G,1810.0,116.0,10.74,61.75000000000001,15.73,2.97,0.365,0.04,0.0,3.21
Panama,L,1854.0,35.0,2.105,39.67,7.725,1.29,0.16,0.025,0.0,2.53
Ghana,L,1625.0,235.0,1.125,25.86,3.85,0.5599999999999999,0.065,0.005,0.0,2.16
Haiti,C,1707.0,56.0,1.7000000000000002,24.404999999999998,2.995,0.36,0.04,0.0,0.0,2.11
Uzbekistan,K,1821.0,85.0,5.55,52.235,11.1,2.1149999999999998,0.47000000000000003,0.04,0.0,2.9
