team,matches,yellows,reds,cards
Algeria,2,1,0,1
Argentina,2,2,0,2
Australia,3,5,0,5
Austria,2,3,0,3
Belgium,2,3,1,4
Bosnia and Herzegovina,3,6,1,7
Brazil,3,5,0,5
Canada,3,5,0,5
Cape Verde,2,3,0,3
Colombia,2,3,0,3
Croatia,2,1,0,1
Curaçao,3,7,0,7
Czech Republic,3,1,0,1
DR Congo,2,2,0,2
Ecuador,3,5,0,5
Egypt,2,3,0,3
England,2,1,0,1
France,3,1,0,1
Germany,3,1,0,1
Ghana,2,2,0,2
Haiti,3,7,0,7
Iran,2,2,0,2
Iraq,3,4,1,5
Ivory Coast,3,4,0,4
Japan,3,1,0,1
Jordan,2,1,0,1
Mexico,3,2,1,3
Morocco,3,1,0,1
Netherlands,3,3,0,3
New Zealand,2,2,0,2
Norway,3,1,0,1
Panama,2,3,0,3
Paraguay,3,7,1,8
Portugal,2,4,0,4
Qatar,3,4,2,6
Saudi Arabia,2,3,0,3
Scotland,3,5,0,5
Senegal,3,2,0,2
South Africa,3,5,2,7
South Korea,3,4,0,4
Spain,2,1,0,1
Sweden,3,5,0,5
Switzerland,3,3,0,3
Tunisia,3,1,0,1
Turkey,3,2,0,2
United States,3,5,0,5
Uruguay,2,2,0,2
Uzbekistan,2,2,0,2
