year,team_name,team_iso,country_iso3,confederation,host,elo_pre_tournament,market_value_eur,log_market_value,avg_age,avg_caps,caps_coverage,pct_top5_leagues,pct_playing_abroad,club_cohesion,n_clubs,squad_size,federation_founded,federation_age,titles_before,finals_before,participations_before,qual_rate_last5,qual_rate_last10,final_performance,team_code
1930,Argentina,ARG,ARG,CONMEBOL,0,1796.3113296558024,,,25.005164582166632,7.2272727272727275,1.0,0.0,0.0,0.18181818181818182,13.0,22.0,1893,37,0,0,0,,,final,ARG
1930,Belgium,BEL,BEL,UEFA,0,1460.076127547875,,,25.501368925393567,11.875,1.0,0.0,0.0,0.125,12.0,16.0,1895,35,0,0,0,,,group stage,BEL
1930,Bolivia,BOL,BOL,CONMEBOL,0,1308.7534998706717,,,25.167522245037645,2.9411764705882355,1.0,0.0,0.0,0.29411764705882354,8.0,17.0,1925,5,0,0,0,,,group stage,BOL
1930,Brazil,BRA,BRA,CONMEBOL,0,1592.0294809615543,,,24.857631759069132,1.3181818181818181,1.0,0.0,0.0,0.22727272727272727,9.0,24.0,1914,16,0,0,0,,,group stage,BRA
1930,Chile,CHL,CHL,CONMEBOL,0,1376.7774936685666,,,26.553694297345004,3.3157894736842106,1.0,0.0,0.0,0.42105263157894735,11.0,19.0,1895,35,0,0,0,,,group stage,CHL
1930,France,FRA,FRA,UEFA,0,1333.672174641975,,,23.997433264887064,5.0,1.0,1.0,0.0,0.3125,7.0,16.0,1919,11,0,0,0,,,group stage,FRA
1930,Mexico,MEX,MEX,CONCACAF,0,1476.156796125901,,,24.702661352015138,0.5882352941176471,1.0,0.0,0.0,0.35294117647058826,5.0,17.0,1922,8,0,0,0,,,group stage,MEX
1930,Paraguay,PRY,PRY,CONMEBOL,0,1528.7375487491076,,,24.446725986767053,0.0,0.8181818181818182,0.0,0.0,0.22727272727272727,8.0,22.0,1906,24,0,0,0,,,group stage,PRY
1930,Peru,PER,PER,CONMEBOL,0,1385.2352280157415,,,23.45185345293418,1.35,1.0,0.0,0.050000000000000044,0.4,7.0,22.0,1922,8,0,0,0,,,group stage,PER
1930,Romania,ROU,ROU,UEFA,0,1466.8591547369351,,,23.365548710928586,4.0,1.0,0.0,0.0,0.13333333333333333,11.0,15.0,1909,21,0,0,0,,,group stage,ROU
1930,United States,USA,USA,CONCACAF,0,1477.5219265109413,,,26.610711841204655,0.875,1.0,0.0,0.0,0.1875,10.0,16.0,1913,17,0,0,0,,,semi-finals,USA
1930,Uruguay,URY,URY,CONMEBOL,1,1693.3314741720058,,,26.69603633874681,15.105263157894736,0.8636363636363636,0.0,0.0,0.4090909090909091,8.0,22.0,1900,30,0,0,0,,,final,URY
1930,Yugoslavia,YUG,YUG,UEFA,0,1451.0559285005704,,,22.067721544469947,4.705882352941177,1.0,0.17647058823529413,0.17647058823529416,0.47058823529411764,6.0,17.0,1919,11,0,0,0,,,semi-finals,YUG
1934,Argentina,ARG,ARG,CONMEBOL,0,1805.100652959176,,,23.947296372347708,0.2777777777777778,1.0,0.0,0.0,0.1111111111111111,14.0,18.0,1893,41,0,1,1,1.0,1.0,round of 16,ARG
1934,Austria,AUT,AUT,UEFA,0,1817.9517307936223,,,26.170244539854398,11.954545454545455,1.0,0.0,0.0,0.22727272727272727,7.0,22.0,1904,30,0,0,0,0.0,0.0,third-place match,AUT
1934,Belgium,BEL,BEL,UEFA,0,1343.2119922701263,,,24.89204156555286,9.6,0.9090909090909091,0.0,0.0,0.22727272727272727,10.0,22.0,1895,39,0,0,1,1.0,1.0,round of 16,BEL
1934,Brazil,BRA,BRA,CONMEBOL,0,1641.1365845882824,,,24.009366331640187,0.5789473684210527,1.0,0.0,0.052631578947368474,0.5263157894736842,5.0,19.0,1914,20,0,0,1,1.0,1.0,round of 16,BRA
1934,Czechoslovakia,TCH,CSK,UEFA,0,1658.1809911540606,,,25.70269429407006,16.363636363636363,1.0,0.045454545454545456,0.045454545454545414,0.5,6.0,22.0,1901,33,0,0,0,0.0,0.0,final,CSK
1934,Egypt,EGY,EGY,CAF,0,1586.0050902886665,,,24.409203390722897,1.5333333333333334,0.75,0.0,0.0,0.35,7.0,20.0,1921,13,0,0,0,0.0,0.0,round of 16,EGY
1934,France,FRA,FRA,UEFA,0,1452.3649682059067,,,24.534378694542966,8.181818181818182,1.0,1.0,0.0,0.13636363636363635,12.0,22.0,1919,15,0,0,1,1.0,1.0,round of 16,FRA
1934,Germany,DEU,DEU,UEFA,0,1621.804293895306,,,24.45074979777239,4.636363636363637,1.0,1.0,0.0,0.18181818181818182,19.0,22.0,1900,34,0,0,0,0.0,0.0,third-place match,DEU
1934,Hungary,HUN,HUN,UEFA,0,1645.1736575120494,,,25.042125567792922,8.227272727272727,1.0,0.0,0.0,0.3181818181818182,5.0,22.0,1901,33,0,0,0,0.0,0.0,quarter-finals,HUN
1934,Italy,ITA,ITA,UEFA,1,1743.4131008485174,,,28.14299047974613,14.954545454545455,1.0,1.0,0.0,0.4090909090909091,8.0,22.0,1898,36,0,0,0,0.0,0.0,final,ITA
1934,Netherlands,NLD,NLD,UEFA,0,1503.7616878358456,,,25.174911330968825,10.136363636363637,1.0,0.0,0.0,0.18181818181818182,18.0,22.0,1889,45,0,0,0,0.0,0.0,round of 16,NLD
1934,Romania,ROU,ROU,UEFA,0,1540.3682793158432,,,24.349324870885447,8.318181818181818,1.0,0.0,0.0,0.36363636363636365,10.0,22.0,1909,25,0,0,1,1.0,1.0,round of 16,ROU
1934,Spain,ESP,ESP,UEFA,0,1716.7904861380566,,,25.55721485906291,6.954545454545454,1.0,1.0,0.0,0.22727272727272727,10.0,22.0,1909,25,0,0,0,0.0,0.0,quarter-finals,ESP
1934,Sweden,SWE,SWE,UEFA,0,1602.1767725145337,,,27.14670317134383,9.857142857142858,1.0,0.0,0.0,0.19047619047619047,11.0,23.0,1904,30,0,0,0,0.0,0.0,quarter-finals,SWE
1934,Switzerland,CHE,CHE,UEFA,0,1415.75033298004,,,24.83169822800213,8.80952380952381,0.9545454545454546,0.0,0.0,0.22727272727272727,10.0,23.0,1895,39,0,0,0,0.0,0.0,quarter-finals,CHE
1934,United States,USA,USA,CONCACAF,0,1572.1589533927124,,,28.056639288158795,1.7894736842105263,1.0,0.0,0.0,0.2631578947368421,9.0,19.0,1913,21,0,0,1,1.0,1.0,round of 16,USA
1938,Belgium,BEL,BEL,UEFA,0,1390.130259128942,,,25.733183996017672,15.272727272727273,1.0,0.0,0.0,0.36363636363636365,11.0,22.0,1895,43,0,0,2,1.0,1.0,round of 16,BEL
1938,Brazil,BRA,BRA,CONMEBOL,0,1636.360316764066,,,25.8889925953581,2.761904761904762,0.9545454545454546,0.0,0.0,0.22727272727272727,9.0,22.0,1914,24,0,0,2,1.0,1.0,third-place match,BRA
1938,Cuba,CUB,CUB,CONCACAF,0,1470.2874196856733,,,23.857935964712144,1.6666666666666667,1.0,0.0,0.0,0.26666666666666666,7.0,15.0,1924,14,0,0,0,0.0,0.0,quarter-finals,CUB
1938,Czechoslovakia,TCH,CSK,UEFA,0,1645.5454817770217,,,25.905668595606993,18.15,0.9090909090909091,0.0,0.0,0.4090909090909091,6.0,22.0,1901,37,0,1,1,0.5,0.5,quarter-finals,CSK
1938,Dutch East Indies,DEI,IDN,AFC,0,1493.7797487227378,,,25.01574264202601,0.29411764705882354,1.0,0.0,0.0,0.23529411764705882,12.0,19.0,1919,19,0,0,0,0.0,0.0,round of 16,IDN
1938,France,FRA,FRA,UEFA,1,1458.4624708301217,,,26.327173169062288,10.227272727272727,1.0,1.0,0.0,0.18181818181818182,12.0,22.0,1919,19,0,0,2,1.0,1.0,quarter-finals,FRA
1938,Germany,DEU,DEU,UEFA,0,1715.2039085228027,,,26.38454358782901,13.863636363636363,1.0,1.0,0.0,0.18181818181818182,14.0,22.0,1900,38,0,0,1,0.5,0.5,round of 16,DEU
1938,Hungary,HUN,HUN,UEFA,0,1722.479481395005,,,27.044365627527842,21.818181818181817,1.0,0.045454545454545456,0.045454545454545414,0.36363636363636365,5.0,22.0,1901,37,0,0,1,0.5,0.5,final,HUN
1938,Italy,ITA,ITA,UEFA,0,1849.8239847546504,,,26.404828573206395,9.863636363636363,1.0,1.0,0.0,0.22727272727272727,9.0,22.0,1898,40,1,1,1,0.5,0.5,final,ITA
1938,Netherlands,NLD,NLD,UEFA,0,1527.0342702771752,,,25.289154377450064,11.954545454545455,1.0,0.0,0.0,0.13636363636363635,16.0,22.0,1889,49,0,0,1,0.5,0.5,round of 16,NLD
1938,Norway,NOR,NOR,UEFA,0,1506.3929135340306,,,25.96328790989982,12.772727272727273,1.0,0.0,0.0,0.22727272727272727,12.0,22.0,1902,36,0,0,0,0.0,0.0,round of 16,NOR
1938,Poland,POL,POL,UEFA,0,1530.1299393230656,,,24.667288905481925,8.045454545454545,1.0,0.0,0.0,0.18181818181818182,12.0,22.0,1919,19,0,0,0,0.0,0.0,round of 16,POL
