team,group,elo,mv_meur,p_win_group,p_r32,p_r16,p_qf,p_sf,p_final,p_win,exp_goals_group
Spain,H,2219.0,1220.0,83.36,99.06,83.355,68.125,57.699999999999996,40.555,28.93,6.14
France,I,2125.0,1520.0,72.275,99.8,82.76,64.7,49.54,31.005,20.19,7.96
Argentina,J,2192.0,782.0,74.05000000000001,98.0,67.435,51.980000000000004,36.230000000000004,21.185000000000002,10.15,6.91
England,L,2086.0,1360.0,74.17,99.03,78.52,52.66499999999999,33.31,19.994999999999997,10.095,7.7
Portugal,K,2043.0,1010.0,63.49,97.33000000000001,67.17,41.03,22.535,10.99,4.535,6.5
Norway,I,1971.0,590.0,26.86,98.395,61.61,38.06,21.395,10.5,4.265,6.52
Ecuador,E,2028.0,369.0,7.265000000000001,88.895,49.97,28.435,14.274999999999999,7.02,2.73,4.35
Morocco,C,1985.0,498.0,46.93,96.25,57.15,31.669999999999998,15.015,6.49,2.65,5.61
Netherlands,F,2011.0,754.0,42.91,93.11,50.05,29.81,13.705,5.79,2.3,6.03
Germany,E,2004.0,947.0,50.605,99.58,57.684999999999995,25.365,13.15,5.55,2.175,9.52
Brazil,C,2069.0,928.0,40.375,94.325,50.135,25.2,10.209999999999999,4.165,1.595,5.26
Belgium,G,1957.0,548.0,63.26500000000001,93.49499999999999,62.32,32.26,10.26,3.7449999999999997,1.23,5.12
Japan,F,1994.0,271.0,30.495,89.69,40.53,20.485,8.08,2.995,1.13,5.58
United States,D,1827.0,386.0,49.735,96.975,63.834999999999994,31.1,10.865,3.71,1.115,6.78
Australia,D,1902.0,77.0,42.69,95.17,62.08,27.655,9.49,3.16,0.9450000000000001,4.8
Mexico,A,1980.0,192.0,63.94499999999999,98.95,64.95,27.375,9.594999999999999,3.415,0.86,5.64
Croatia,L,1969.0,387.0,22.74,90.71000000000001,50.49,18.060000000000002,8.195,2.995,0.8500000000000001,5.03
Colombia,K,2064.0,302.0,29.330000000000002,89.29,45.26,17.7,7.385,2.56,0.7000000000000001,4.86
Ivory Coast,E,1815.0,522.0,42.03,97.705,43.725,14.804999999999998,5.965,2.03,0.62,4.51
Uruguay,H,1976.0,359.0,13.535,81.34,30.9,15.32,6.7250000000000005,2.3449999999999998,0.605,4.0
Switzerland,B,1956.0,332.0,31.259999999999998,78.815,45.550000000000004,18.73,5.765,1.76,0.58,3.95
Canada,B,1899.0,199.0,52.470000000000006,94.655,55.48499999999999,23.695,6.63,1.855,0.395,5.61
Turkey,D,1969.0,474.0,5.7299999999999995,54.08500000000001,27.33,9.805,4.035,1.345,0.38999999999999996,2.75
Senegal,I,1914.0,478.0,0.72,57.665,21.445,9.805,2.81,0.91,0.22499999999999998,3.73
Algeria,J,1873.0,257.0,13.76,75.06,23.880000000000003,10.305,3.785,1.095,0.2,3.87
South Korea,A,1881.0,139.0,32.074999999999996,95.375,50.834999999999994,16.615,3.965,1.05,0.18,4.88
Austria,J,1890.0,245.0,10.685,68.02,19.950000000000003,7.8149999999999995,2.4250000000000003,0.62,0.145,3.56
Sweden,F,1771.0,406.0,25.955000000000002,96.175,24.735,8.870000000000001,2.34,0.555,0.135,6.76
Scotland,C,1844.0,170.0,12.379999999999999,77.66,20.325,4.505,0.8699999999999999,0.165,0.02,2.5
Czech Republic,A,1802.0,188.0,3.345,49.29,20.265,6.04,0.9249999999999999,0.135,0.02,3.45
Bosnia and Herzegovina,B,1652.0,152.0,14.799999999999999,75.44,22.12,5.155,0.515,0.06,0.015,3.73
DR Congo,K,1763.0,144.0,1.79,23.169999999999998,2.8850000000000002,0.28500000000000003,0.034999999999999996,0.01,0.005,2.14
Cape Verde,H,1654.0,54.0,1.3599999999999999,38.865,4.135,0.365,0.034999999999999996,0.005,0.005,1.65
Jordan,J,1776.0,20.0,1.505,20.87,3.1300000000000003,0.635,0.095,0.005,0.005,2.04
Paraguay,D,1919.0,154.0,1.8450000000000002,23.465,8.03,1.8800000000000001,0.335,0.05,0.005,2.82
Iran,G,1897.0,32.0,9.754999999999999,45.855000000000004,11.935,2.075,0.215,0.03,0.005,3.81
Qatar,B,1566.0,20.0,1.47,18.395,1.43,0.11,0.0,0.0,0.0,2.26
Saudi Arabia,H,1693.0,41.0,1.745,44.91,6.510000000000001,1.005,0.105,0.005,0.0,2.71
Iraq,I,1738.0,21.0,0.145,5.785,0.84,0.215,0.045,0.01,0.0,2.17
Egypt,G,1810.0,116.0,17.105,70.625,20.265,3.8600000000000003,0.47000000000000003,0.045,0.0,3.54
South Africa,A,1663.0,49.0,0.635,20.435,5.21,0.715,0.06,0.005,0.0,1.66
Panama,L,1854.0,35.0,2.035,36.47,7.06,1.115,0.17500000000000002,0.01,0.0,2.54
Ghana,L,1625.0,235.0,1.055,23.41,3.5249999999999995,0.47000000000000003,0.065,0.005,0.0,2.16
Curaçao,E,1606.0,26.0,0.1,2.125,0.22,0.015,0.0,0.0,0.0,2.02
Tunisia,F,1738.0,70.0,0.64,6.845,0.855,0.185,0.04,0.01,0.0,2.29
New Zealand,G,1732.0,34.0,9.875,45.595,11.205,1.975,0.24,0.025,0.0,3.79
Haiti,C,1707.0,56.0,0.315,4.535,0.645,0.065,0.01,0.0,0.0,1.12
Uzbekistan,K,1821.0,85.0,5.390000000000001,49.305,10.27,1.8900000000000001,0.385,0.034999999999999996,0.0,2.91
