player,team_sim,pos,age,caps,goals,share,exp_goals,goals_90pct,p_golden_boot
Harry Kane (captain),England,FW,32,114,79,0.4679815105594541,6.94395,10.0,29.174196428571264
Kylian Mbappé (captain),France,FW,27,98,56,0.4526435808873215,6.02465,9.0,17.476865079365165
Lionel Messi (captain),Argentina,FW,38,199,117,0.4430485147580383,5.7652,9.0,14.478898809523836
Cristiano Ronaldo (captain),Portugal,FW,41,228,143,0.4564048432858416,5.22295,8.0,9.834440476190439
Mikel Oyarzabal,Spain,FW,29,53,25,0.19991182782875028,5.1167,8.0,8.838121031746
Ferran Torres,Spain,FW,26,57,24,0.19448889723457732,4.97495,8.0,7.691954365079345
Romelu Lukaku,Belgium,FW,33,126,90,0.38823950559093423,4.0803,7.0,3.3951607142857205
Neymar,Brazil,FW,34,128,79,0.4167557822418095,3.48415,6.0,1.450097222222222
Erling Haaland,Norway,FW,25,50,55,0.413374722813549,3.21995,6.0,1.2135119047619056
Memphis Depay,Netherlands,FW,32,109,55,0.32878232602365093,3.249,6.0,1.0411845238095243
Enner Valencia (captain),Ecuador,FW,36,105,49,0.43038189542691396,2.97505,5.0,0.7669285714285714
Ayoub El Kaabi,Morocco,FW,32,71,35,0.30831141119393707,2.9035,5.0,0.7158055555555558
Christian Pulisic,United States,FW,27,86,33,0.26182578702180576,2.9608,5.0,0.5704166666666666
Raúl Jiménez,Mexico,FW,35,124,45,0.30515886893270566,2.8753,5.0,0.46202579365079366
Edin Džeko (captain),Bosnia and Herzegovina,FW,40,148,73,0.5367680745116669,2.68635,5.0,0.4416865079365079
Dani Olmo,Spain,FW,28,50,12,0.1027629526320075,2.6516,5.0,0.38209523809523815
Son Heung-min (captain),South Korea,FW,33,144,56,0.3513715843474276,2.64815,5.0,0.3451150793650794
Kai Havertz,Germany,FW,27,58,22,0.16182742935477298,2.6344,5.0,0.3375476190476192
Jonathan David,Canada,FW,26,77,39,0.2746878071643754,2.4711,5.0,0.2533333333333334
Viktor Gyökeres,Sweden,FW,28,33,20,0.24566070957552447,2.4068,4.0,0.15874999999999997
Alexander Isak,Sweden,FW,26,58,17,0.23375190744610777,2.2937,4.0,0.14483333333333331
Leroy Sané,Germany,MF,30,76,17,0.12111614654252685,1.9532,4.0,0.08041666666666668
Cyle Larin,Canada,FW,31,90,30,0.21768101054406117,1.9674,4.0,0.06775
Mohamed Salah (captain),Egypt,FW,33,116,67,0.4473999897229341,1.78005,4.0,0.058214285714285725
Mikel Merino,Spain,MF,29,43,10,0.07448846023640088,1.8999,4.0,0.055000000000000014
Leon Goretzka,Germany,MF,31,70,15,0.10635497525584815,1.704,3.0,0.05408333333333333
Sadio Mané,Senegal,FW,34,128,55,0.35891463121153516,1.6981,4.0,0.052083333333333336
James Rodríguez (captain),Colombia,MF,34,126,31,0.22416926896657272,1.64345,3.0,0.0489642857142857
Lautaro Martínez,Argentina,FW,28,77,37,0.1358849826041606,1.77065,4.0,0.03891666666666666
Ivan Perišić,Croatia,FW,37,154,38,0.19796887961124232,1.53225,3.0,0.03375
Alexander Sørloth,Norway,FW,30,72,26,0.2129887070839713,1.6467,3.0,0.03216666666666667
Kevin De Bruyne,Belgium,MF,34,119,37,0.15644818538423974,1.6393,3.0,0.029333333333333333
Marcus Rashford,England,FW,28,72,18,0.11082083276550495,1.63525,3.0,0.025416666666666664
